S.No.,Compound Name,Smiles,IDO_IC50 (nM),IDO_pic50,TDO_IC50 (nM),TDO_pic50
631,CHEMBL4783665,O=C1c2ccccc2C(=O)c2c1nnn2-c1ccc(-c2nnn[nH]2)cc1,60,7.22,25,7.6
632,CHEMBL4784061,O=C(/C(=N/O)Nc1ccc(F)c(Br)c1)c1cccs1,272,6.57,63091,4.2
633,CHEMBL4784589,CC(=O)Nc1cc(Nc2cccc3[nH]ncc23)c2cc(C(=O)O)[nH]c2c1,7520,5.12,6780,5.17
634,CHEMBL4785586,CC(=O)Nc1cc(Nc2ccc(F)c(OC(C)C)c2)c2cc(C(=O)O)[nH]c2c1,3090,5.51,6460,5.19
635,CHEMBL4785841,O=C1c2ccccc2C(=O)c2c1nnn2-c1ccc(C(F)(F)F)c(Cl)c1,30,7.52,25,7.6
636,CHEMBL4786080,CC(=O)Nc1cc(Nc2ccc(F)c(C3CC3)c2)c2cc(C(=O)O)[nH]c2c1,2950,5.53,5450,5.26
637,CHEMBL4786114,COc1ccc2c(c1)C(=O)c1nnn(-c3ccc(F)c(Cl)c3)c1C2=O,163,6.79,105,6.98
638,CHEMBL4787695,O=C1c2cc(F)ccc2C(=O)c2c1nnn2-c1ccc(F)c(Cl)c1,98,7.01,59,7.23
639,CHEMBL4788833,O=C(Nc1ccc(Cl)cn1)C(=O)N1CCC2(CC1)COc1cc(C(F)(F)F)ccc12,73,7.14,6400,5.19
640,CHEMBL4789503,NS(=O)(=O)NC[C@H]1CC[C@H](C(=O)/C(=N/O)Nc2ccc(F)c(Br)c2)CC1,21,7.68,58738,4.23
641,CHEMBL4790494,CC(=O)Nc1cc(Nc2ccc(F)c(Cl)c2)c2cc(C(=O)O)[nH]c2c1,8400,5.08,8480,5.07
642,CHEMBL4790619,CC(=O)Nc1cc(Nc2ccc(C(F)(F)F)cc2)c2cc(C(=O)O)[nH]c2c1,55500,4.26,23200,4.63
643,CHEMBL4790626,CC(=O)Nc1cc(Nc2ccc(F)c(OCC3CC3)c2)c2cc(C(=O)O)[nH]c2c1,3110,5.51,4090,5.39
644,CHEMBL4791116,COc1cc(Nc2ccc(F)c3[nH]c(C(=O)O)cc23)cc(OC)c1OC,22200,4.65,23300,4.63
645,CHEMBL4791168,COP(C)(=O)NCCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,2.6,8.59,2600,5.59
646,CHEMBL4791729,O=C1c2ccccc2C(=O)c2c1nnn2-c1ccc(Cl)c(F)c1,20,7.7,18,7.74
647,CHEMBL4792192,O=[N+]([O-])c1ccc(N/C(=N\O)c2cccc(Br)c2)c2nonc12,105,6.98,20000,4.7
648,CHEMBL4792463,O=C(Nc1ccc(C(F)(F)F)cc1)C(=O)N1CCC(c2ccnc3ccc(F)cc23)CC1,90,7.05,9500,5.02
649,CHEMBL4793007,COc1ccc(Nc2cc(NC(C)=O)cc3[nH]c(C(=O)O)cc23)nc1,4730,5.33,5270,5.28
650,CHEMBL4793303,O=C(Nc1ccc(Cl)cn1)C(=O)N1CCC(c2ccnc3ccc(F)cc23)CC1,70,7.15,5900,5.23
651,CHEMBL4793667,COc1cc(Nc2ccc(F)c3[nH]c(C(=O)O)cc23)ccc1F,54400,4.26,31400,4.5
652,CHEMBL4794331,N#Cc1ccc(NC(=O)C(=O)N2CCC(c3ccnc4ccc(F)cc34)CC2)cc1,36,7.44,5500,5.26
653,CHEMBL4795047,O=C(Nc1ccc(Cl)cc1)C(=O)N1CC[C@@H](c2ccnc3ccc(F)cc23)[C@H](O)C1,50,7.3,15300,4.82
