S.No.,Compound Name,Smiles,IDO_IC50 (nM),IDO_pic50,TDO_IC50 (nM),TDO_pic50
1,"(-)-(R)-3-(5-fluoro-1H- indol-3-yl)pyrrolidine- 2,5-dione::US10945994, Compound 2::US9603836, Compound 2::US9949951, 2",Fc1ccc2[nH]cc([C@H]3CC(=O)NC3=O)c2c1,120,6.92,50000,4.3
2,"(1R,2s,3S,5s,7s)-5-(2-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)-1-hydroxyethyl)adamantan-2-ol ::US10358451, Compound 17",OC1C2CC3CC1CC(C3)(C2)C(=O)CC1c2c(cccc2F)-c2cncn12,100,7,200,6.7
3,"(1s,3r,5R,7S)-3-(2-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)-1-hydroxyethyl)adamantan-1-ol::US10358451, Compound 15d",OC12CC3CC(C1)CC(C3)(C2)C(=O)CC1c2c(cccc2F)-c2cncn12,100,7,200,6.7
4,"(1S,4S)-4-((R)-6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)-N-(3-methoxyphenyl)cyclohexanecarboxamide::US10899764, Example 33",COc1cccc(NC(=O)[C@H]2CCC(CC2)[C@@H]2c3c(cccc3F)-c3cncn23)c1,36.1,7.44,184,6.74
5,"(2R)-3-(4-(4-(4-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)piperidin-1-yl)phenyl)-1H-pyrazol-1-yl)propane-1,2-diol trifluoroacetate::US10899764, Example 30",CC1(C)OCC(Cn2cc(cn2)-c2ccc(cc2)N2CCC(CC2)C2c3c(cccc3F)-c3cncn23)O1,58.8,7.23,319,6.5
6,"(2S)-3-(4-(4-(4-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)piperidin-1-yl)phenyl)-1H-pyrazol-1-yl)propane-1,2-diol::US10899764, Example 29",CC1(C)OC[C@H](Cn2cc(cn2)-c2ccc(cc2)N2CCC(CC2)C2c3c(cccc3F)-c3cncn23)O1,35.9,7.44,220,6.66
7,"1-((3r,5r,7r)-adamantan-1-yl)-2-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)ethanol::US10358451, Compound 15e",Fc1cccc2-c3cncn3C(CC(=O)C34CC5CC(CC(C5)C3)C4)c12,100,7,500,6.3
8,"1s,3r,5R,7S)-3-(1-hydroxy-2-(5H-imidazo[5,1-a]isoindol-5-yl)ethyl)adamantan-1-ol::US10358451, Compound 14f",OC12CC3CC(C1)CC(C3)(C2)C(=O)CC1c2ccccc2-c2cncn12,100,7,200,6.7
9,"2-(4-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)piperidin-1-yl)-5-phenylthiazole trifluoroacetate::US10899764, Example 23",Fc1cccc2-c3cncn3C(C3CCN(CC3)c3ncc(Br)s3)c12,48.2,7.32,399,6.4
10,"2-(5H-imidazo[5,1-a]isoindol-5-yl)-1-(1-(2-nitro-4-(trifluoromethyl)phenyl)piperidin-4-yl)ethanol ::US10358451, Compound 9",OC(CC1c2ccccc2-c2cncn12)C1CCN(CC1)c1ccc(cc1[N+]([O-])=O)C(F)(F)F,500,6.3,200,6.7
11,"2-fluoro-4-(4-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)piperidin-1-yl)benzonitrile::US10899764, Example 45",Fc1cccc2-c3cncn3C(C3CCN(CC3)c3ccc(C#N)c(F)c3)c12,8.84,8.05,234,6.63
12,"3-((tetrahydro-2H-pyran-4- yl)methyl)-8-(7- (trifluoromethyl)imidazo[1,5- a]pyridin-5-yl)-1,3,8- triazaspiro[4.5]decane-2,4- dione::US11096930, Example 7",FC(F)(F)c1cc(N2CCC3(CC2)NC(=O)N(CC2CCOCC2)C3=O)n2cncc2c1,1202,5.92,3981,5.4
13,"3-(5-fluoro-1H-indol-3- yl)pyrrolidine-2,5-dione::US10945994, Compound 1::US9603836, Compound 1::US9603836, Compound 1a::US9949951, 1a",Fc1ccc2[nH]cc(C3CC(=O)NC3=O)c2c1,150,6.82,50000,4.3
14,"3,6,6-trimethyl-8-(7- (trifluoromethyl)imidazo[1,5- a]pyridin-5-yl)-1,3,8- triazaspiro[4.5]decane-2,4- dione::US11096930, Example 10",CN1C(=O)NC2(CCN(CC2(C)C)c2cc(cc3cncn23)C(F)(F)F)C1=O,631,6.2,2692,5.57
15,"3-methyl-8-(7- (trifluoromethyl)imidazo[1,5- a]pyridin-5-yl)-1,3,8- triazaspiro[4.5]decane-2,4- dione::US11096930, Example 6",CN1C(=O)NC2(CCN(CC2)c2cc(cc3cncn23)C(F)(F)F)C1=O,1288,5.89,1820,5.74
16,"3-phenyl-8-(7- (trifluoromethyl)imidazo[1,5- a]pyridin-5-yl)-1,3,8- triazaspiro[4.5]decane-2,4- dione::US11096930, Example 9",FC(F)(F)c1cc(N2CCC3(CC2)NC(=O)N(C3=O)c2ccccc2)n2cncc2c1,263,6.58,1660,5.78
17,"4-(2-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)-1-hydroxyethyl)bicyclo[2.2.2]octan-1-ol ::US10358451, Compound 16",OC(CC1c2c(cccc2F)-c2cncn12)C12CCC(O)(CC1)CC2,100,7,200,6.7
18,"4-(5-(4-(6-fluoro-5H-imidazo[5,1-a]isoindol-5-yl)piperidin-1-yl)-1,3,4-thiadiazol-2-yl)pyridin-2-amine trifluoroacetate::US10899764, Example 36",COc1ccc(CNc2cc(ccn2)-c2nnc(s2)N2CCC(CC2)C2c3c(cccc3F)-c3cncn23)cc1,10.6,7.97,104,6.98
19,"5-(1-(3,4-difluorophenyl)piperidin-4-yl)-6-fluoro-5H-imidazo[5,1-a]isoindole::US10899764, Example 46",Fc1cccc2-c3cncn3C(C3CCN(CC3)c3ccc(F)c(F)c3)c12,6.68,8.18,68.9,7.16
20,"5-(1-(5-chloropyridin-2-yl)piperidin-4-yl)-6-fluoro-5H-imidazo[5,1-a]isoindole::US10899764, Example 47",Fc1cccc2-c3cncn3C(C3CCN(CC3)c3ccc(Cl)cn3)c12,7.23,8.14,195,6.71
21,"6,6-dimethyl-3-((tetrahydro- 2H-pyran-4-yl)methyl)-8-(7- (trifluoromethyl)imidazo[1,5- a]pyridin-5-yl)-1,3,8- triazaspiro[4.5]decane-2,4- dione::US11096930, Example 14",CC1(C)CN(CCC11NC(=O)N(CC2CCOCC2)C1=O)c1cc(cc2cncn12)C(F)(F)F,1202,5.92,16596,4.78
22,"6,6-dimethyl-3-phenyl-8-(7- (trifluoromethyl)imidazo[1,5- a]pyridin-5-yl)-1,3,8- triazaspiro[4.5]decane-2,4- dione::US11096930, Example 15",CC1(C)CN(CCC11NC(=O)N(C1=O)c1ccccc1)c1cc(cc2cncn12)C(F)(F)F,2188,5.66,38019,4.42
23,"6,6-dimethyl-8-(6- (trifluoromethyl)imidazo[1,5- a]pyridin-8-yl)-1,3,8- triazaspiro[4.5]decane-2,4- dione::US11096930, Example 12",CC1(C)CN(CCC11NC(=O)NC1=O)c1cc(cn2cncc12)C(F)(F)F,1820,5.74,794,6.1
24,"6,6-dimethyl-8-(7- (trifluoromethyl)imidazo[1,5- a]pyridin-5-yl)-1,3,8- triazaspiro[4.5]decane-2,4- dione::US11096930, Example 5",CC1(C)CN(CCC11NC(=O)NC1=O)c1cc(cc2cncn12)C(F)(F)F,1202,5.92,3020,5.52
25,"6-fluoro-5-(1-(4-((1-(methylsulfonyl)piperidin-4-yl)oxy)phenyl)piperidin-4-yl)-5H-imidazo[5,1-a]isoindole::US10899764, Example 39",CS(=O)(=O)N1CCC(CC1)Oc1ccc(cc1)N1CCC(CC1)C1c2c(cccc2F)-c2cncn12,15.5,7.81,243,6.61
26,"6-fluoro-5-(1-(4-(1-((R)-tetrahydrofuran-3-yl)-1H-pyrazol-4-yl)phenyl)piperidin-4-yl)-5H-imidazo[5,1-a]isoindole trifluoroacetate::US10899764, Example 32",Fc1cccc2-c3cncn3C(C3CCN(CC3)c3ccc(cc3)-c3cnn(c3)[C@@H]3CCOC3)c12,33,7.48,296,6.53
27,"6-fluoro-5-(1-(4-(1-((R)-tetrahydrofuran-3-yl)-1H-pyrazol-4-yl)phenyl)piperidin-4-yl)-5H-imidazo[5,1-a]isoindole trifluoroacetate::US10899764, Example 44",Fc1cccc2-c3cncn3C(C3CCN(CC3)c3ccc(cc3)-c3cnn(c3)C3CCOC3)c12,16.6,7.78,202,6.69
28,"6-fluoro-5-(1-(4-(1-(1-(methylsulfonyl)piperidin-4-yl)-1H-pyrazol-4-yl)phenyl)piperidin-4-yl)-5H-imidazo[5,1-a]isoindole trifluoroacetate::US10899764, Example 31",CS(=O)(=O)N1CCC(CC1)n1cc(cn1)-c1ccc(cc1)N1CCC(CC1)C1c2c(cccc2F)-c2cncn12,14.2,7.85,104,6.98
29,"6-fluoro-5-(1-(4-(1-(2-methoxy ethyl)-1H-pyrazol-4-yl)phenyl)piperidin-4-yl)-5H-imidazo[5,1-a]isoindole trifluoroacetate::US10899764, Example 42",COCCn1cc(cn1)-c1ccc(cc1)N1CCC(CC1)C1c2c(cccc2F)-c2cncn12,36.3,7.44,217,6.66
30,"6-fluoro-5-(1-(5-(1-(tetrahydro-2H-pyran-4-yl)-1H-pyrazol-4-yl)pyrimidin-2-yl)piperidin-4-yl)-5H-imidazo[5,1-a]isoindole::US10899764, Example 18",Fc1cccc2-c3cncn3C(C3CCN(CC3)c3ncc(cn3)-c3cnn(c3)C3CCOCC3)c12,34,7.47,361,6.44
31,"8-(6- (trifluoromethyl)imidazo[1,5- a]pyridin-8-yl)-1,3,8- triazaspiro[4.5]decane-2,4- dione::US11096930, Example 4",FC(F)(F)c1cc(N2CCC3(CC2)NC(=O)NC3=O)c2cncn2c1,1023,5.99,1445,5.84
32,"8-(7- (Trifluoromethyl)imidazo[1,5- a]pyridin-5-yl)-1,3,8- triazaspiro[4.5]decane-2,4- dione::US11096930, Example 1",FC(F)(F)c1cc(N2CCC3(CC2)NC(=O)NC3=O)n2cncc2c1,29.5,7.53,2512,5.6
33,"8-(7- (trifluoromethyl)imidazo[1,5- a]pyridin-5-yl)-2,8- diazaspiro[4.5]decane-1,3- dione::US11096930, Example 13",FC(F)(F)c1cc(N2CCC3(CC(=O)NC3=O)CC2)n2cncc2c1,295,6.53,1698,5.77
34,"8-(7-bromoimidazo[1,5- a]pyridin-5-yl)-1,3,8- triazaspiro[4.5]decane-2,4- dione::US11096930, Example 2",Brc1cc(N2CCC3(CC2)NC(=O)NC3=O)n2cncc2c1,64.6,7.19,513,6.29
35,"8-(7-bromoimidazo[1,5- a]pyridin-5-yl)-6,6-dimethyl- 1,3,8-triazaspiro[4.5]decane- 2,4-dione::US11096930, Example 16",CC1(C)CN(CCC11NC(=O)NC1=O)c1cc(Br)cc2cncn12,87.1,7.06,1202,5.92
36,"8-(7-chloroimidazo[1,5- a]pyridin-5-yl)-1,3,8- triazaspiro[4.5]decane-2,4- dione::US11096930, Example 3",Clc1cc(N2CCC3(CC2)NC(=O)NC3=O)n2cncc2c1,282,6.55,1413,5.85
37,"8-(7-chloroimidazo[1,5- a]pyridin-5-yl)-6,6-dimethyl- 1,3,8-triazaspiro[4.5]decane- 2,4-dione::US11096930, Example 11::US11096930, Example 8",CC1(C)CN(CCC11NC(=O)NC1=O)c1cc(Cl)cc2cncn12,102,6.99,1585,5.8
38,CHEMBL1098875,O=C1c2cc(F)ccc2-n2c1nc1ccccc1c2=O,534,6.27,937,6.03
39,CHEMBL1209728,Cc1c(Br)oc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,10000,5,10000,5
40,CHEMBL1346056,Oc1ccccc1-c1nc2c3ccccc3c3ccccc3c2[nH]1,26000,4.59,12250,4.91
41,CHEMBL139935,O=[N+]([O-])c1cc(F)c2cccnc2c1O,14610,4.84,30230,4.52
42,CHEMBL1403970,Nc1cccc2c([As](=O)(O)O)cccc12,45730,4.34,37870,4.42
43,CHEMBL1442185,Cc1ccccc1Cn1nnc2c1C(=O)c1ccccc1C2=O,808.9,6.09,561,6.25
44,CHEMBL1487639,O=Cc1ccc(O)c2ncccc12,4370,5.36,100000,4
45,CHEMBL1537588,Cc1cccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)c1,4612,5.34,1745,5.76
46,CHEMBL162783,CC1Oc2cc3c(-c4c(O)cc(O)c5c(O)c6c(cc45)OC(C)C(C)C6=O)c(O)cc(O)c3c(O)c2C(=O)C1C,44090,4.36,48550,4.31
47,CHEMBL1644447,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccccc1,886,6.05,858,6.07
48,CHEMBL1652342,O=C1Nc2ccccc2/C1=N/Nc1cccc(Cl)c1,1510,5.82,46810,4.33
49,CHEMBL1652343,O=C1Nc2ccccc2/C1=N/Nc1ccc(Cl)cc1,630,6.2,53380,4.27
50,CHEMBL1812545,Fc1ccc2c(/C=C/c3nnn[nH]3)c[nH]c2c1,100000,4,620,6.21
51,CHEMBL187266,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,10000,5,10000,5
52,CHEMBL187460,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,10000,5,9800,5.01
53,CHEMBL1875561,COCCn1c2nc(=O)n(-c3ccccc3)c(=O)c-2nc2ccccc21,23770,4.62,33720,4.47
54,CHEMBL1909733,Brc1ccccc1-c1cnn[nH]1,31600,4.5,100000,4
55,CHEMBL1909734,Clc1ccccc1-c1cnn[nH]1,19300,4.71,100000,4
56,CHEMBL1909735,Fc1ccc(-c2cnn[nH]2)cc1,100000,4,100000,4
57,CHEMBL193664,c1ccc(-c2cnn[nH]2)cc1,70000,4.15,100000,4
58,CHEMBL194853,Cc1cccc(-c2c[nH]nn2)c1,7000,5.15,100000,4
59,CHEMBL196408,Cc1ccccc1-c1c[nH]nn1,100000,4,100000,4
60,CHEMBL1974436,C[C@@H](CO)C1=C(O)C(=O)c2c(ccc3c2CCCC3(C)C)C1=O,10000,5,10000,5
61,CHEMBL1981840,O=[N+]([O-])/C=C/c1cc2ccccc2[nH]1,2790,5.55,100000,4
62,CHEMBL198194,Nc1cccc(-c2c[nH]nn2)c1,100000,4,100000,4
63,CHEMBL198937,Oc1cccc(-c2c[nH]nn2)c1,100000,4,100000,4
64,CHEMBL2000037,Cc1cc(=O)n2c3c(c4c(cc13)c(CN(C)C)cc(=O)n4C)OC2.Cl,26970,4.57,17650,4.75
65,CHEMBL2146496,Clc1cc(-c2c[nH]nn2)ccn1,3500,5.46,100000,4
66,CHEMBL2147989,Clc1cccc(-c2c[nH]nn2)c1,1200,5.92,100000,4
67,CHEMBL2147990,N#Cc1cccc(-c2c[nH]nn2)c1,2800,5.55,100000,4
68,CHEMBL2147991,FC(F)(F)c1cccc(-c2c[nH]nn2)c1,6000,5.22,100000,4
69,CHEMBL2147992,CCc1cccc(-c2c[nH]nn2)c1,1100,5.96,100000,4
70,CHEMBL2147993,O=[N+]([O-])c1cccc(-c2c[nH]nn2)c1,15000,4.82,100000,4
71,CHEMBL2147994,Fc1cccc(-c2c[nH]nn2)c1,47000,4.33,100000,4
72,CHEMBL2147995,Brc1cc(-c2c[nH]nn2)ccn1,2900,5.54,100000,4
73,CHEMBL2147996,Fc1cc(-c2c[nH]nn2)ccn1,7000,5.15,100000,4
74,CHEMBL2147997,FC(F)(F)c1cc(-c2c[nH]nn2)ccn1,56000,4.25,100000,4
75,CHEMBL2147998,Oc1ccccc1-c1c[nH]nn1,1700,5.77,100000,4
76,CHEMBL2147999,Nc1ccccc1-c1c[nH]nn1,60000,4.22,100000,4
77,CHEMBL2148000,Fc1ccccc1-c1c[nH]nn1,70000,4.15,100000,4
78,CHEMBL2148001,CCc1ccccc1-c1c[nH]nn1,100000,4,100000,4
79,CHEMBL2148074,Oc1ccc(Cl)cc1-c1c[nH]nn1,330,6.48,100000,4
80,CHEMBL2148075,Cc1ccc(Cl)cc1-c1c[nH]nn1,4300,5.37,100000,4
81,CHEMBL2148076,Clc1ccc(Cl)c(-c2c[nH]nn2)c1,34000,4.47,100000,4
82,CHEMBL2148077,Clc1cccc(-c2c[nH]nn2)c1Cl,100000,4,100000,4
83,CHEMBL241898,O=[N+]([O-])c1cc([N+](=O)[O-])c2cccnc2c1O,11120,4.95,22670,4.64
84,CHEMBL274452,c1ccc2c(c1)[nH]c1c(-c3c[nH]cn3)nccc12,3530,5.45,1150,5.94
85,CHEMBL275224,c1ccc2c(c1)[nH]c1cnccc12,90000,4.05,1200,5.92
86,CHEMBL301982,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@]12C,8410,5.08,100000,4
87,CHEMBL3087009,O=C1c2cc(F)ccc2-n2c1nc1ccc(F)cc1c2=O,2720,5.57,62,7.21
88,CHEMBL3087010,O=C1c2c(Cl)cccc2-n2c1nc1ccccc1c2=O,8190,5.09,227,6.64
89,CHEMBL3192687,O=S(=O)(/N=C/c1c(O)ccc2ccccc12)c1cccs1,1390,5.86,11310,4.95
90,CHEMBL3342402,Cc1ccc(-c2csc3nnc(SCC(=O)Nc4ccc5c(c4)OCO5)n23)cc1,3000,5.52,62500,4.2
91,CHEMBL3545369,NS(=O)(=O)NCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,19,7.72,64500,4.19
92,CHEMBL3612772,CN(C)CCNC(=O)c1c2c(n3ccccc13)C(=O)c1ncccc1C2=O,127,6.9,3350,5.47
93,CHEMBL3628551,O=C1c2ccccc2C(=O)c2c1nnn2Cc1cccc(Cl)c1,769,6.11,711,6.15
94,CHEMBL3628552,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(F)cc1,2587,5.59,7380,5.13
95,CHEMBL3628553,Cc1ccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)cc1,1770,5.75,1088,5.96
96,CHEMBL3628554,O=C1c2ccccc2C(=O)c2c1nnn2Cc1cccc(Br)c1,3163,5.5,768,6.11
97,CHEMBL3628555,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(Br)cc1,10000,5,1586,5.8
98,CHEMBL3628556,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(Cl)cc1,10000,5,6460,5.19
99,CHEMBL3628593,O=C(O)c1cccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)c1,1242,5.91,167,6.78
100,CHEMBL3628594,O=C(O)c1ccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)cc1,2323,5.63,312,6.51
101,CHEMBL3628595,CCN(CC)C(=O)c1cccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)c1,977,6.01,90,7.05
102,CHEMBL3628596,CCN(CC)C(=O)c1ccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)cc1,1928,5.71,181,6.74
103,CHEMBL3628597,CC(=O)N1CCN(C(=O)c2cccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)c2)CC1,602,6.22,59,7.23
104,CHEMBL3628598,O=C1c2ccccc2C(=O)c2c1nnn2Cc1cccc(C(=O)N2CCOCC2)c1,936,6.03,48,7.32
105,CHEMBL3628599,CN1CCN(C(=O)c2cccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)c2)CC1,658,6.18,30,7.52
106,CHEMBL3628600,CC(=O)N1CCN(C(=O)c2ccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)cc2)CC1,1097,5.96,176,6.75
107,CHEMBL3628601,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(C(=O)N2CCOCC2)cc1,982,6.01,116,6.94
108,CHEMBL3628602,CN1CCN(C(=O)c2ccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)cc2)CC1,2069,5.68,108,6.97
109,CHEMBL3628603,COC1CCN(C(=O)c2ccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)cc2)CC1,1593,5.8,209,6.68
110,CHEMBL3628604,CCN(CC)C(=O)Cc1ccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)cc1,921.8,6.04,145,6.84
111,CHEMBL3629569,OC(CC1c2ccccc2-c2cncn21)C1CCCCC1,60,7.22,30,7.52
112,CHEMBL3629570,O=C(CC1c2ccccc2-c2cncn21)C1CCCCC1,468,6.33,1000,6
113,CHEMBL3745873,Nc1oc2c(-c3ccnc(N4CCOCC4)c3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,2000,5.7
114,CHEMBL377478,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CC[C@H](O)C2(C)C,10000,5,2700,5.57
115,CHEMBL382312,Brc1cccc(-c2c[nH]nn2)c1,2000,5.7,100000,4
116,CHEMBL38596,c1csc(-c2nccc3c2[nH]c2ccccc23)c1,50000,4.3,10840,4.96
117,CHEMBL3909480,Cc1n[nH]c2c1C(c1ccc(F)c(Cl)c1)c1c([nH]c(=O)[nH]c1=O)O2,438,6.36,3000,5.52
118,CHEMBL3913434,Cc1n[nH]c2c1C(c1ccc(F)c(Cl)c1)c1c(C)n[nH]c1O2,260,6.59,3000,5.52
119,CHEMBL3913975,N#CC1=C(N)Nc2[nH]c(=O)[nH]c(=O)c2C1c1cccc(Cl)c1,473,6.33,3000,5.52
120,CHEMBL3927265,Nc1n[nH]c2c1C(c1ccc(F)c(Cl)c1)c1c(N)n[nH]c1O2,378,6.42,3000,5.52
121,CHEMBL3930308,Cc1n[nH]c2c1C(c1ccc(F)cc1)c1c(C)n[nH]c1O2,479,6.32,3000,5.52
122,CHEMBL3936225,COc1ccc(C2c3c(C)n[nH]c3Oc3[nH]nc(N)c32)cc1O,397,6.4,3000,5.52
123,CHEMBL3940383,Cc1n[nH]c2c1C(c1ccc(F)c(F)c1)c1c(C)n[nH]c1O2,78,7.11,3000,5.52
124,CHEMBL3945146,Cc1n[nH]c2c1C(c1ccc(F)c(F)c1)c1c(N)n[nH]c1O2,78,7.11,3000,5.52
125,CHEMBL3966057,Nc1n[nH]c2c1C(c1ccc(F)c(F)c1)c1c(N)n[nH]c1O2,78,7.11,3000,5.52
126,CHEMBL3971417,Cc1n[nH]c2c1C(c1ccc(F)c(F)c1)c1c([nH]c(=O)[nH]c1=O)O2,410,6.39,3000,5.52
127,CHEMBL3971895,N#Cc1c(-c2cccc(Cl)c2)c2c(=O)[nH]c(=O)[nH]c2[nH]c1=O,296,6.53,3000,5.52
128,CHEMBL3972619,Oc1ccc(CNc2cc(Br)cc3[nH]ncc23)cc1,5300,5.28,1850,5.73
129,CHEMBL3974564,Cc1n[nH]c2c1C(c1ccc(F)c(Cl)c1)c1c(N)n[nH]c1O2,78,7.11,3000,5.52
130,CHEMBL3989951,O[C@H](C[C@H]1c2c(F)cccc2-c2cncn21)[C@H]1CC[C@H](O)CC1,434,6.36,1500,5.82
131,CHEMBL4092918,O=C1c2ccccc2C2=C3C(O)=NN=C3CCN12,1720,5.76,4350,5.36
132,CHEMBL4160797,Oc1ccc(Cl)cc1-c1cncn1Cc1cc2cc(F)ccc2[nH]1,33.8,7.47,54400,4.26
133,CHEMBL4161733,C[C@@H](C(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,2,8.7,10000,5
134,CHEMBL4165309,Oc1ccc(F)cc1-c1cncn1Cc1cc2cc(F)ccc2[nH]1,113,6.95,84000,4.08
135,CHEMBL4207581,Cc1ccc(NC(=O)Nc2cc(-c3ccccc3-c3nnn[nH]3)ccc2N(CC(C)C)CC(C)C)cc1,4,8.4,7500,5.12
136,CHEMBL4237632,Cc1ccccc1NC(=O)c1c2c(n3ccccc13)C(=O)c1cccnc1C2=O,2662,5.57,100000,4
137,CHEMBL4239450,O=C([O-])c1cccc(NC(=O)c2c3c(n4ccccc24)C(=O)c2cccnc2C3=O)c1.[K+],390,6.41,100000,4
138,CHEMBL4242333,O=C1c2cccnc2C(=O)c2c1c(C(=O)Nc1ccccc1)c1ccccn21,361,6.44,7300,5.14
139,CHEMBL4243692,O=C([O-])c1cccc(NC(=O)c2c3c(n4ccccc24)C(=O)c2ncccc2C3=O)c1.[K+],148,6.83,41600,4.38
140,CHEMBL4245134,NC(=S)NNC(=O)c1c2c(n3ccccc13)C(=O)c1ncccc1C2=O,23,7.64,1200,5.92
141,CHEMBL4245579,CN(C)CCNC(=O)c1c2c(n3ccccc13)C(=O)c1cccnc1C2=O,1235,5.91,7150,5.15
142,CHEMBL4248088,O=C1c2ncccc2C(=O)c2c1c(C(=O)Nc1ccccc1)c1ccccn21,119,6.92,100000,4
143,CHEMBL4250771,Cc1ccccc1NC(=O)c1c2c(n3ccccc13)C(=O)c1ncccc1C2=O,427,6.37,100000,4
144,CHEMBL4276879,Nc1sc2ccccc2c1Sc1cccc(Cl)c1,1000,6,2000,5.7
145,CHEMBL4276886,CNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(C(F)(F)F)c4)c(N)oc23)ccn1,200,6.7,2000,5.7
146,CHEMBL4276888,Cc1cc(-c2cccc3c(Nc4cccc(Cl)c4)c(N)sc23)ccn1,200,6.7,500,6.3
147,CHEMBL4276905,Nc1oc2c(-c3ccccc3Cl)nccc2c1Nc1ccc(F)c(F)c1,200,6.7,500,6.3
148,CHEMBL4276969,C#Cc1cc(Nc2c(N)oc3c(-c4ccncc4)nccc23)ccc1F,200,6.7,500,6.3
149,CHEMBL4277061,COc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2cn1,200,6.7,500,6.3
150,CHEMBL4277115,Nc1oc2cnccc2c1Nc1ccc(F)cc1,200,6.7,500,6.3
151,CHEMBL4277163,Cc1cc(Cl)cc(Nc2c(N)oc3cnccc23)c1,200,6.7,500,6.3
152,CHEMBL4277184,Nc1sc2ccccc2c1Nc1ccccc1,200,6.7,500,6.3
153,CHEMBL4277268,Nc1oc2cnc(F)cc2c1Nc1ccc(F)c(C(F)(F)F)c1,200,6.7,500,6.3
154,CHEMBL4277355,CC(C)Oc1cccc(Nc2c(N)oc3cnccc23)c1,1000,6,2000,5.7
155,CHEMBL4277452,Cc1ccc(Nc2c(N)oc3cnccc23)cc1C,200,6.7,500,6.3
156,CHEMBL4277466,Nc1oc2c[n+]([O-])ccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
157,CHEMBL4277566,Nc1oc2cnccc2c1Nc1cccnc1,1000,6,500,6.3
158,CHEMBL4277636,Cc1cc(Nc2c(N)oc3cnccc23)ccc1F,200,6.7,500,6.3
159,CHEMBL4277745,Nc1oc2c(-c3ccc4ccccc4c3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,2000,5.7
160,CHEMBL4277781,O=C1c2ccccc2C(=O)c2c1ncn2Cc1cccc(Cl)c1,100000,4,100000,4
161,CHEMBL4277866,COc1ccccc1-c1nccc2c(Nc3ccc(F)c(F)c3)c(N)oc12,200,6.7,500,6.3
162,CHEMBL4278098,N#Cc1ccc2c(Nc3cccc(C(F)(F)F)c3)c(N)oc2c1,200,6.7,500,6.3
163,CHEMBL4278199,Nc1sc2ccccc2c1Nc1cccc(C(F)(F)F)c1,200,6.7,2000,5.7
164,CHEMBL4278213,CCOC(=O)Nc1oc2c(C#N)nccc2c1N(C(=O)OCC)c1ccc(F)c(C(F)(F)F)c1,1000,6,2000,5.7
165,CHEMBL4278281,Nc1oc2cnc(F)cc2c1Nc1cccc(C(F)(F)F)c1,200,6.7,500,6.3
166,CHEMBL4278347,Nc1oc2cncc(Cl)c2c1Nc1ccc(Cl)c(F)c1,1000,6,500,6.3
167,CHEMBL4278364,Nc1sc2ccc(Cl)cc2c1Nc1ccccc1,200,6.7,2000,5.7
168,CHEMBL4278386,CC(C)(C)c1cccc(Nc2c(N)oc3cnccc23)c1,1000,6,2000,5.7
169,CHEMBL4278408,Nc1oc2cnccc2c1Nc1ccc2c(c1)CCCC2,1000,6,2000,5.7
